GID,ID,NAME,TYPE,TOLLINTERV,LAT,LNG,PILENUMBER,STATUS,STARTTIME,ENDTIME,ETCGANTRYH,RSUMANUID,RSUMODEL,RUSID,VPLRUID,VPLRMODEL,VPLRID,HDVUID,HDVMODEL,HDVID,OPERATION,LINKID,CLASS,ZOOM,ZOOMNUMBER,省份编码,门架种类,使用状态,承载门架编,收费广场编,省份名称,门架类型,省界入出口标识
,G121222001000110010,山城互通至大湾收费站门架1,0,,42.3032,125.288,K161+220,0,,,,,,,,,,,,,0,5480908,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界出口
,G121222001000110020,山城互通至大湾收费站门架2,0,,42.3028,125.281,K160+710,0,,,,,,,,,,,,,0,70039961,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界出口
,G032137006000520120,鄄城北-德商鲁豫2门架,0,,35.6852,115.553,K238+850,0,,,,,,,,,,,,,0,57941199,,0,0,37,实体门架,在用,,,山东省,省界收费门架,省界出口
,G000663001000420010,马场垣站-马场垣主线站1,0,,36.3169,102.892,K1686+330,0,,,,,,,,,,,,,0,71168814,,0,0,63,实体门架,在用,,,青海省,省界收费门架,省界出口
,G003041005005910010,豫灵_豫陕界第一排,0,,34.5775,110.417,K896+470,0,,,,,,,,,,,,,0,15714274,,0,0,41,实体门架,在用,,,河南省,省界收费门架,省界出口
,G351137002000210040,东明北-菏宝鲁豫门架,0,,35.3317,115.095,K49+730,0,,,,,,,,,,,,,0,503094916,,0,0,37,实体门架,在用,,,山东省,省界收费门架,省界出口
,G351137002000210050,东明北-菏宝鲁豫门架,0,,35.332,115.101,K49+130,0,,,,,,,,,,,,,0,503094916,,0,0,37,实体门架,在用,,,山东省,省界收费门架,省界出口
,G061563003000910020,久治匝道站-久治主线站2,0,,33.4145,101.456,K681+200,0,,,,,,,,,,,,,0,69738879,,0,0,63,实体门架,停用,,,青海省,省界收费门架,省界出口
,G061563003000910010,久治匝道站-久治主线站1,0,,33.4155,101.461,K680+700,0,,,,,,,,,,,,,0,69738879,,0,0,63,实体门架,停用,,,青海省,省界收费门架,省界出口
,G003061005000420010,陈仓省界至坪头匝道,0,,34.3923,106.876,K1257+670,0,,,,,,,,,,,,,0,109148620,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
